humidity,soil_moisture,t_inside,t_outside
37.9,36,22.4,11.69
37.4,36,22.4,11.69
37.7,36,22.4,11.69
38,36,22.3,11.75
38.7,36,22.3,11.81
38.7,36,22.3,11.81
38.4,36,22.3,11.69
39.1,36,22.3,11.69
38.8,36,22.3,11.69
38.7,36,22.3,11.62
38.6,36,22.3,11.62
38.4,36,22.3,11.62
38.2,36,22.3,11.62
37.9,36,22.3,11.62
37.6,36,22.3,11.56
37.5,36,22.3,11.56
37.4,36,22.3,11.75
37.2,36,22.3,11.75
37.1,36,22.3,11.75
37.1,36,22.3,11.75
37.3,36,22.3,11.81
37.4,36,22.3,11.81
37.5,36,22.3,11.81
37.4,36,22.3,11.75
37.3,36,22.3,11.75
37.2,36,22.3,11.81
37.3,36,22.3,11.81
37.6,36,22.3,11.81
38.1,36,22.4,11.81
37.9,36,22.3,11.81
37.7,36,22.3,11.81
37.8,36,22.3,11.81
37.6,36,22.3,11.81
37.5,36,22.3,11.81
37.5,36,22.3,11.75
37.3,36,22.7,11.75
37.2,36,23.8,11.75
37.2,36,23.3,11.81
37.6,36,22.8,11.75
37.8,36,22.4,11.69
38.1,36,22.2,11.75
38.1,36,22.3,11.75
38.1,36,22.4,11.75
37.9,36,22.5,11.75
37.9,36,22.5,11.75
37.8,36,22.5,11.75
37.9,36,22.4,11.75
37.9,36,22.4,11.75
37.8,36,22.4,11.75
37.8,36,22.4,11.75
37.7,36,22.4,11.81
38.1,36,22.4,11.75
38.1,36,22.4,11.75
38.1,36,22.4,11.69
38.1,36,22.4,11.75
38,36,22.4,11.75
38.3,36,22.4,11.75
38.3,36,22.4,11.75
38.1,36,22.4,11.69
38,36,22.4,11.75
38,36,22.4,11.81
37.9,36,22.5,11.75
38,36,22.4,11.75
38.1,36,22.4,11.69
37.9,36,22.4,11.75
38,36,22.4,11.69
38.1,36,22.2,11.75
38,36,22.2,11.75
37.9,36,22.2,11.69
37.9,36,22.2,11.75
37.8,36,22.2,11.75
37.7,36,21.9,11.69
37.8,36,21.9,11.75
37.6,36,22.2,11.75
37.5,36,22.3,11.75
37.6,36,22.3,11.75
37.5,36,22.3,11.75
37.5,36,22.3,11.75
37.6,36,22.2,11.75
37.5,36,22.1,11.75
37.8,36,22.1,11.75
37.8,36,22.1,11.75
37.9,36,22.1,11.75
37.8,36,22.1,11.69
37.8,36,22.1,11.75
37.7,36,22.1,11.75
37.6,36,22.1,11.75
37.5,36,22.2,11.75
37.4,36,22.2,11.75
37.6,36,22.2,11.75
37.4,36,22.2,11.75
37.6,36,22.2,11.75
37.6,36,22.3,11.69
37.5,36,22.3,11.69
37.4,36,22.3,11.69
37.5,36,22.3,11.75
37.5,36,21.9,11.75
37.4,36,21.9,11.69
37,36,21.9,11.69
36.8,36,21.9,11.69
36.9,36,21.9,11.75
37.3,36,21.9,11.75
37.1,36,21.9,11.75
37.1,36,21.9,11.75
37.2,36,21.9,11.75
37.2,36,22,11.69
37.2,36,22,11.62
37.2,36,22,11.69
37.2,36,22.1,11.69
37.1,36,22.1,11.69
37.1,36,22.1,11.69
37.1,36,22.1,11.75
37.1,36,22.1,11.81
37,36,22.1,11.81
37,36,22.1,11.81
39.2,36,22.1,11.87
38.9,36,22.1,11.81
38.4,36,22.1,11.81
37.8,36,22,11.87
37.5,36,22.1,11.87
37.4,36,22,11.87
37.9,36,22,11.94
39.5,36,22,11.94
39,36,22,11.94
38.1,36,22,11.87
37.5,36,22,11.94
37.1,36,22.3,11.94
36.9,36,22.3,12
36.8,36,22.3,11.94
36.7,36,22.3,11.87
36.9,36,22.3,11.94
36.9,36,22.3,11.94
37,36,22.3,12
36.9,36,22.3,12
36.9,36,22.3,12.06
37.2,36,22.3,12.12
37.5,36,22.3,12.06
37.3,36,22.2,12.06
38.1,36,22.2,11.94
37.8,36,22.1,11.87
36.9,36,22.1,11.87
35.8,36,22.1,11.87
35.6,36,22.1,11.87
35.8,36,22.1,11.81
36.2,36,22.1,11.87
36.5,36,22.3,11.81
36.7,36,22.6,11.87
37.2,36,22.3,11.81
67.6,36,22.5,11.87
74.9,36,22.4,11.94
72.6,36,22.5,11.94
